Month,Books
June 2018,3
July 2018,3
August 2018,5
September 2018,5
October 2018,5
November 2018,7
December 2018,7
January 2019,7
February 2019,7
March 2019,7
April 2019,7
May 2019,7
June 2019,7
July 2019,9
August 2019,10
September 2019,11
October 2019,12
November 2019,12
December 2019,13
January 2020,13
February 2020,13
March 2020,16
April 2020,16
May 2020,18
June 2020,18
July 2020,18
August 2020,18
September 2020,18
October 2020,18
November 2020,19
December 2020,19
January 2021,20
February 2021,20
March 2021,20
April 2021,20
May 2021,20
June 2021,20
July 2021,20
August 2021,20
September 2021,23
October 2021,24
November 2021,25
December 2021,26
January 2022,26
February 2022,26
March 2022,26
April 2022,26
May 2022,26
June 2022,26
July 2022,26
August 2022,26
September 2022,27
October 2022,27
November 2022,27
December 2022,27
January 2023,29
February 2023,29
March 2023,29
April 2023,29
May 2023,29
June 2023,29
July 2023,29
August 2023,29
September 2023,30
October 2023,30
November 2023,31
December 2023,31
January 2024,32
February 2024,32
March 2024,33
April 2024,33
May 2024,33
June 2024,33
July 2024,33
August 2024,33
September 2024,33
